Month,Income/Debt,Growth/Equity,Balanced,Liquid,Total
30.04.2002,57614,14093,16886,8423,102831
31.05.2002,57238,13653,15167,10541,102231
30.06.2002,55205,14393,15482,10138,100703
31.07.2002,59120,13606,14466,10001,102393
31.08.2002,62675,14237,14538,10896,107621
30.09.2002,64408,13162,13105,11087,106929
31.10.2002,70020,13213,12968,11689,113153
30.11.2002,76182,13554,13832,12386,121393
31.12.2002,77469,14371,14164,10801,122600
31.01.2003,76048,14103,13753,12232,121805
28.02.2003,51905,11117,2808,15880,87190
31.03.2003,47564,9887,3141,13734,79464
30.04.2003,51407,10000,3167,19497,89238
31.05.2003,57952,11069,3277,20314,98124
30.06.2003,62871,12181,3403,20139,104762
31.07.2003,66443,13586,3455,22732,112841
31.08.2003,70163,15752,3689,23578,121040
30.09.2003,69466,16630,3794,22845,121778
31.10.2003,72794,17913,3920,22055,126726
30.11.2003,71716,18659,3982,28860,132366
31.12.2003,71258,22938,4663,32424,140093
31.01.2004,69320,23143,4404,40112,145373
29.02.2004,65396,23022,4323,45200,145657
31.03.2004,62524,23613,4080,41704,139616
30.04.2004,68308,24579,4221,49065,154024
31.05.2004,65591,21604,4298,54993,154018
30.06.2004,59431,21869,4382,63015,155845
31.07.2004,56236,23105,4388,67079,157747
31.08.2004,54022,24570,4480,65888,155686
30.09.2004,53474,25610,4425,62982,153108
31.10.2004,52068,26124,4449,58825,147995
30.11.2004,49485,28382,4641,60483,149581
31.12.2004,47451,31551,5472,59447,150537
31.01.2005,48490,31834,5454,60028,152280
28.02.2005,49904,32262,5582,59135,153253
31.03.2005,47605,36757,4867,54068,149600
30.04.2005,48579,37309,4864,61616,158422
31.05.2005,50251,43236,5079,63331,167978
30.06.2005,49887,42461,5067,60875,164546
31.07.2005,51519,46637,5367,66027,175918
31.08.2005,54853,53421,5780,75376,195784
30.09.2005,54133,59819,6185,74058,201669
31.10.2005,54918,57257,6153,74984,200209
30.11.2005,56196,63937,6597,70394,204519
31.12.2005,52903,67144,6833,64711,199248
31.01.2006,50737,69975,7088,72100,207979
28.02.2006,51453,77560,7191,72868,217707
31.03.2006,60278,92867,7493,61500,231862
30.04.2006,57546,97638,7829,84271,257499
31.05.2006,57436,93748,7279,108854,276343
30.06.2006,54113,87196,6961,108776,265534
31.07.2006,59007,88198,7117,124463,287159
31.08.2006,67301,95093,7667,128102,307107
30.09.2006,72104,101184,7911,100622,291206
31.10.2006,79172,106484,8145,106540,310171
30.11.2006,86702,113548,8377,122422,341378
