PERIOD,QUARTER,Funds of funds- Overseas,Funds of funds- Domestic
2010-2011,2010,501304.01,0
2010-2011,2011,830169.78,0
2011-2012,2011,745288.35,0
2011-2012,2011,754478.45,0
2011-2012,2011,859813.71,3315.31
2011-2012,2012,881494.22,5961.9
2012-2013,2012,875874.29,7522.76
2012-2013,2012,1049030.62,10012.85
2012-2013,2012,1055039.41,13441.79
2012-2013,2013,1211433.78,14135.92
2013-2014,2013,1228924.43,13691.85
2013-2014,2013,1217078.76,14675.93
2013-2014,2013,1458657.79,14263.72
2013-2014,2014,1615391.28,13060.23
2014-2015,2014,2026766.96,11758.25
2014-2015,2014,2250809.98,10715.85
2014-2015,2014,2411455.2,9834.4
2014-2015,2015,2662399.27,9341.37
2015-2016,2015,2836457.49,8863.95
2015-2016,2015,3178933.99,7984.73
2015-2016,2015,3448944.53,7404.35
2015-2016,2016,3768787.25,7667.12
2016-2017,2016,4086792.67,7835.43
2016-2017,2016,4717923.26,7621.61
2016-2017,2016,4928054.82,6897.65
2016-2017,2017,5769984.77,6480.53
2017-2018,2017,6359917.34,5990.85
2017-2018,2017,6908794.5,5660.06
2017-2018,2017,7337174,5328.92
2017-2018,2018,7732540.54,5207.5
2018-2019,2018,7920123.19,5096.78
2018-2019,2018,8763058.5,4789.67
2018-2019,2018,8162224.91,4789.44
2018-2019,2019,8972005.74,4766.22
2019-2020,2019,10222114.67,4625.37
2019-2020,2019,10552617.2,5311.16
2019-2020,2019,12286723.03,5631.53
2019-2020,2020,13840162,10752.3
2020-2021,2020,13431574.16,16682.38
2020-2021,2020,15625525.24,23831.13
2020-2021,2020,17747364.65,27843.93
2020-2021,2021,19654866.14,31338.74
2021-2022,2021,20814292.32,36166.61
2021-2022,2021,23817696.88,39763.07
2021-2022,2021,25345019.51,45565.29
2021-2022,2022,25981842.5,51675.31
2022-2023,2022,24550973.22,61681.47
2022-2023,2022,24834327.94,64822.16
2022-2023,2022,24822000.78,70934.47
2022-2023,2023,24141457.02,76873.89
2023-2024,2023,24816024.33,82000.83
