Mutual Fund Category,Scheme Name,Aum(Cr)
Aggressive Hybrid Fund,Axis Equity Hybrid Fund,1740.59
Arbitrage Fund,Axis Arbitrage Fund,2782.75
Banking and PSU,Axis Banking and PSU Debt Fund,14605.62
Childrens Fund,Axis Childrens Gift Fund,758.39
Conservative Hybrid Fund,Axis Regular Saver Fund,447.74
Corporate Bond Fund,Axis Corporate Debt Fund,4897.56
Credit Risk Fund,Axis Credit Risk Fund,528.76
Dynamic Asset Allocation or Balanced Advantage,Axis Balanced Advantage,2011.09
Dynamic Bond Fund,Axis Dynamic Bond Fund,1837.62
ELSS,Axis Long  Term Equity Fund,32223.67
Equity Savings,Axis Equity Saver Fund,908.93
Fixed Maturity Plans Debt,Axis Fixed Term Plan-Series 113 (1228D),83.55
Fixed Maturity Plans Debt,Axis Fixed Term Plan-Series 112 (1143D),69.01
Flexi Cap Fund,Axis Flexi Cap Fund ,11330.05
Floater Fund,Axis Floater Fund,317.13
Focused Fund,Axis Focused 25 Fund,15629.48
Fund of Funds,Axis Global Equity Alpha Funds of Fund,1007.15
Fund of Funds,Axis Gold Fund,328.1
Fund of Funds,Axis Nifty AAA Bond Plus SDL  Apr 2026 50:50 ETF FOF,286.47
Fund of Funds,Axis All Seasons Debt Fund of Funds,169.01
Fund of Funds,Axis Greater China Equity Fund of Funds,151.06
Fund of Funds,Axis NASDAQ 100 Fund of Funds,113.34
Fund of Funds,Axis Silver Fund of Fund,30.02
Fund of Funds,Axis Equity ETFs FOF,14.7
Fund of Funds Equity,Axis Global Innovation Fund of Fund,936.76
Gilt Fund,Axis Gilt Fund,216.67
Index Funds/ETFs,Axis Crisil IBX SDL MAY 2027 INDEX FUND,1999.16
Index Funds/ETFs,Axis Nifty AAA Bond Plus SDL  Apr 2026 50:50 ETF FOF,1490.48
Index Funds/ETFs,Axis Nifty 100 Index Fund,962.92
Index Funds/ETFs,Axis Gold ETF FUND,820.39
Index Funds/ETFs,Axis Crisil IBX 70:30 CPSE Plus SDL April 2025 INDEX FUND,590.19
Index Funds/ETFs,Axis Nifty 50 Index Fund,310.52
Index Funds/ETFs,Axis Nifty IT ETF ,170.92
Index Funds/ETFs,Axis Nifty Bank ETF,167.83
Index Funds/ETFs,Axis Nifty 50 ETF,167.32
Index Funds/ETFs,Axis Nifty Next 50 Index Fund ,91.36
Index Funds/ETFs,Axis Nifty Midcap 50 Index Fund,82.08
Index Funds/ETFs,Axis Nifty SDL September 2026 Debt Index Fund,75.17
Index Funds/ETFs,Axis Nifty Smallcap 50 Index Fund,66.35
Index Funds/ETFs,Axis Nifty IT Index Fund,66.34
Index Funds/ETFs,Axis Crisil IBX 50:50 GILT Plus SDL September 2027 INDEX FUND,32.61
Index Funds/ETFs,Axis Nifty Healthcare ETF,14.06
Index Funds/ETFs,Axis Nifty India Consumption,11.97
Large & Mid Cap Fund,Axis Growth Oppurtunities Fund,9540.4
Large Cap Fund,Axis Bluechip Fund,33891.89
Liquid Fund,Axis Liquid Fund,27001.8
Long Duration Fund,Axis Long Duration Fund,182.16
Low Duration Fund,Axis Treasure Advantage,5864.62
Medium Duration Fund,Axis Stratergic Bond Fund,1959.48
Mid Cap Fund,Axis Mid Cap Fund,22177.63
Money Market Fund,Axis Money Market Fund,7186.83
Multi Asset Allocation Fund,Axis Multi Asset Allocation Fund,1432.45
Multi Cap Fund,Axis Multi Cap Fund,4371.25
Overnight Fund,Axis Overnight Fund,8017.9
Retirement Fund,Axis Retirement Savings Fund -Aggressive Plan,704.07
Retirement Fund,Axis Retirement Savings Fund -Dynamic Plan,297.07
Retirement Fund,Axis Retirement Savings Fund -Conservative Plan,78.86
Sectoral/Thematic ,Axis Business Cycles Fund,2491.32
Sectoral/Thematic ,Axis ESG Equity Fund,1482.97
Sectoral/Thematic ,Axis Special Situations Fund,1347.73
Sectoral/Thematic ,Axis Quant Fund,994.29
Short Duration Fund,Axis Short Duration Fund,7489.62
Small Cap Fund,Axis Small Cap Fund,15025
Ultra Short Duration Fund,Axis Ultra Short Duration Fund,5214.38
Value Fund,Axis Value Fund,309.41
