QUARTER,Funds of funds- Overseas,Funds of funds- Domestic
01.10.2010,501304.01,0
01.01.2011,830169.78,0
01.04.2011,745288.35,0
01.07.2011,754478.45,0
01.10.2011,859813.71,3315.31
01.01.2012,881494.22,5961.9
01.04.2012,875874.29,7522.76
01.07.2012,1049030.62,10012.85
01.10.2012,1055039.41,13441.79
01.01.2013,1211433.78,14135.92
01.04.2013,1228924.43,13691.85
01.07.2013,1217078.76,14675.93
01.10.2013,1458657.79,14263.72
01.01.2014,1615391.28,13060.23
01.04.2014,2026766.96,11758.25
01.07.2014,2250809.98,10715.85
01.10.2014,2411455.2,9834.4
01.01.2015,2662399.27,9341.37
01.04.2015,2836457.49,8863.95
01.07.2015,3178933.99,7984.73
01.10.2015,3448944.53,7404.35
01.01.2016,3768787.25,7667.12
01.04.2016,4086792.67,7835.43
01.07.2016,4717923.26,7621.61
01.10.2016,4928054.82,6897.65
01.01.2017,5769984.77,6480.53
01.04.2017,6359917.34,5990.85
01.07.2017,6908794.5,5660.06
01.10.2017,7337174,5328.92
01.01.2018,7732540.54,5207.5
01.04.2018,7920123.19,5096.78
01.07.2018,8763058.5,4789.67
01.10.2018,8162224.91,4789.44
01.01.2019,8972005.74,4766.22
01.04.2019,10222114.67,4625.37
01.07.2019,10552617.2,5311.16
01.10.2019,12286723.03,5631.53
01.01.2020,13840162,10752.3
01.04.2020,13431574.16,16682.38
01.07.2020,15625525.24,23831.13
01.10.2020,17747364.65,27843.93
01.01.2021,19654866.14,31338.74
01.04.2021,20814292.32,36166.61
01.07.2021,23817696.88,39763.07
01.10.2021,25345019.51,45565.29
01.01.2022,25981842.5,51675.31
01.04.2022,24550973.22,61681.47
01.07.2022,24834327.94,64822.16
01.10.2022,24822000.78,70934.47
01.01.2023,24141457.02,76873.89
01.04.2023,24816024.33,82000.83
